2026-01-29T15:4,478.075,62093
2026-01-29T15:5,474.425,32314
2026-01-29T16:0,475.7,22165
2026-01-29T16:1,481.41,39634
2026-01-29T16:2,483.905,55216
2026-01-29T16:3,486.19,43162
2026-01-29T16:4,482.4,29390
2026-01-29T16:5,484.385,15211
2026-01-29T17:0,484.08,17908
2026-01-29T17:1,486.58,22775
2026-01-29T17:2,490.65,33197
2026-01-29T17:3,492.84,28521
2026-01-29T17:4,492.385,43029
2026-01-29T17:5,492.38,37162
2026-01-29T18:0,490.86,21157
2026-01-29T18:1,491.91,28551
2026-01-29T18:2,491.88,56315
2026-01-29T18:3,489.8,50088
2026-01-29T18:4,492.34,12611
2026-01-29T18:5,492.34,14980
2026-01-29T19:0,490.62,27319
2026-01-29T19:1,490.34,46846
2026-01-29T19:2,488.915,25130
2026-01-29T19:3,488.545,35552
2026-01-29T19:4,488.22,39790
2026-01-29T19:5,488.37,15750
2026-01-29T20:0,487.12,28912
2026-01-29T20:1,486.81,12181
2026-01-29T20:2,487.88,14554
2026-01-29T20:3,488.9,26767
2026-01-29T20:4,491.54,26822
2026-01-29T20:5,493.67,52035
2026-01-30T14:3,466.245,39193
2026-01-30T14:4,467.83,18475
2026-01-30T14:5,467.83,39582
2026-01-30T15:0,462.53,40998
2026-01-30T15:1,459.515,26551
2026-01-30T15:2,464.26,42138
2026-01-30T15:3,463.73,31583
2026-01-30T15:4,465.05,16847
2026-01-30T15:5,465.31,34446
2026-01-30T16:0,464.21,21477
2026-01-30T16:1,462.75,27094
2026-01-30T16:2,460.67,30350
2026-01-30T16:3,459.12,42494
2026-01-30T16:4,457.12,19011
2026-01-30T16:5,457.75,19055
2026-01-30T17:0,458.2,18040
2026-01-30T17:1,453.17,87260
2026-01-30T17:2,450.815,46197
2026-01-30T17:3,452.69,45838
2026-01-30T17:4,449.42,85363
2026-01-30T17:5,446.63,94890
2026-01-30T18:0,445.75,19026
2026-01-30T18:1,442.49,56825
2026-01-30T18:2,437.43,56989
2026-01-30T18:3,436.135,105377
2026-01-30T18:4,432.04,104019
2026-01-30T18:5,443.95,83528
2026-01-30T19:0,448.61,36470
2026-01-30T19:1,451.42,39762
2026-01-30T19:2,448.38,41850
2026-01-30T19:3,449.81,19610
2026-01-30T19:4,451.6,16446
2026-01-30T19:5,452.6,29131
2026-01-30T20:0,453.465,24504
2026-01-30T20:1,449.67,24396
2026-01-30T20:2,450.62,16714
2026-01-30T20:3,449.64,33238
2026-01-30T20:4,447.11,44561
2026-01-30T20:5,447.48,85082
2026-02-02T14:3,433.935,52797
2026-02-02T14:4,439.365,23624
